"","region_type","region","year","week","weighted_ili","unweighted_ili","age_0_4","age_25_49","age_25_64","age_5_24","age_50_64","age_65","ilitotal","num_of_providers","total_patients","week_start"
"1","National","National",2014,40,1.16191,1.20612,2958,1959,NA,3994,712,527,10150,1937,841540,NA
"2","National","National",2014,41,1.30905,1.32485,3055,2116,NA,4437,821,548,10977,1960,828544,NA
"3","National","National",2014,42,1.37072,1.41192,3442,2321,NA,4728,870,580,11941,2000,845727,NA
"4","National","National",2014,43,1.43373,1.42547,3455,2459,NA,4955,892,531,12292,2008,862314,NA
"5","National","National",2014,44,1.42791,1.43909,3632,2242,NA,5102,807,530,12313,2053,855608,NA
"6","National","National",2014,45,1.61605,1.61532,4277,2349,NA,5799,863,565,13853,2058,857601,NA
"7","National","National",2014,46,1.65976,1.66473,4424,2323,NA,5816,911,588,14062,1997,844700,NA
"8","National","National",2014,47,2.05459,2.0058,4740,2921,NA,7322,1049,642,16674,2058,831289,NA
"9","National","National",2014,48,2.53541,2.62227,5432,3277,NA,6848,1165,880,17602,2067,671251,NA
"10","National","National",2014,49,2.54253,2.60749,6185,4623,NA,9106,1767,1224,22905,2097,878430,NA
"11","National","National",2014,50,3.60563,3.4178,7424,5287,NA,13050,1970,1441,29172,2069,853532,NA
"12","National","National",2014,51,4.90976,4.46555,9270,6920,NA,16418,2671,2103,37382,2016,837119,NA
"13","National","National",2014,52,5.98221,6.11497,10363,8982,NA,13951,3718,3519,40533,1984,662849,NA
"14","National","National",2014,53,5.47421,5.30979,9732,9348,NA,9406,4288,4117,36891,1983,694773,NA
"15","National","National",2015,1,4.21374,4.07898,7160,8072,NA,9589,3614,3048,31483,1958,771835,NA
"16","National","National",2015,2,4.21022,3.93762,7044,6946,NA,11966,2909,2339,31204,1971,792459,NA
"17","National","National",2015,3,4.25968,4.15076,7840,6451,NA,13949,2951,2030,33221,1966,800359,NA
"18","National","National",2015,4,3.97761,3.87899,7118,5844,NA,13159,2585,1915,30621,1955,789407,NA
"19","National","National",2015,5,3.63443,3.45794,6656,5380,NA,12093,2368,1654,28151,1950,814097,NA
"20","National","National",2015,6,3.26527,3.06359,6429,4884,NA,10328,2072,1505,25218,1917,823153,NA
"21","National","National",2015,7,2.93083,2.82646,5537,4295,NA,8164,1842,1271,21109,1907,746836,NA
"22","National","National",2015,8,2.54474,2.3599,4823,4061,NA,7280,1765,1249,19178,1934,812660,NA
"23","National","National",2015,9,2.47227,2.33472,4639,3914,NA,7116,1696,1076,18441,1912,789858,NA
"24","National","National",2015,10,2.35665,2.21286,4710,3654,NA,6748,1654,1067,17833,1907,805881,NA
"25","National","National",2015,11,2.17008,2.07619,4559,3482,NA,6084,1573,997,16695,1883,804117,NA
"26","National","National",2015,12,2.04297,2.01267,4418,3284,NA,6003,1486,931,16122,1848,801027,NA
"27","National","National",2015,13,1.954,1.94192,4174,2968,NA,5623,1321,889,14975,1819,771143,NA
"28","National","National",2015,14,1.72287,1.74809,3903,2931,NA,4634,1387,878,13733,1820,785602,NA
"29","National","National",2015,15,1.53694,1.50367,3448,2448,NA,4214,1160,774,12044,1813,800974,NA
"30","National","National",2015,16,1.38283,1.43494,3182,2052,NA,4011,975,640,10860,1768,756827,NA
"31","National","National",2015,17,1.46265,1.45673,3203,2122,NA,4280,888,602,11095,1753,761638,NA
"32","National","National",2015,18,1.38934,1.42836,3106,2074,NA,4079,846,589,10694,1735,748690,NA
"33","National","National",2015,19,1.3468,1.35297,2805,1810,NA,3641,813,602,9671,1688,714799,NA
"34","National","National",2015,20,1.25452,1.33093,2754,1768,NA,3296,736,470,9024,1622,678023,NA
"35","National","National",2015,21,1.21636,1.28422,2593,1461,NA,2714,652,493,7913,1579,616171,NA
"36","National","National",2015,22,1.16734,1.13889,2211,1334,NA,2345,594,462,6946,1505,609891,NA
"37","National","National",2015,23,1.04654,1.10343,2109,1320,NA,2284,575,456,6744,1455,611184,NA
"38","National","National",2015,24,0.943661,0.970748,1734,1167,NA,2046,495,408,5850,1459,602628,NA
