"","region_type","region","year","week","weighted_ili","unweighted_ili","age_0_4","age_25_49","age_25_64","age_5_24","age_50_64","age_65","ilitotal","num_of_providers","total_patients","week_start"
"1","States","Alabama",2014,40,NA,1.73174,NA,NA,NA,NA,NA,NA,220,26,12704,NA
"2","States","Alaska",2014,40,NA,0.437445,NA,NA,NA,NA,NA,NA,5,7,1143,NA
"3","States","Arizona",2014,40,NA,1.02937,NA,NA,NA,NA,NA,NA,299,59,29047,NA
"4","States","Arkansas",2014,40,NA,1.07239,NA,NA,NA,NA,NA,NA,48,17,4476,NA
"5","States","California",2014,40,NA,1.9089,NA,NA,NA,NA,NA,NA,831,129,43533,NA
"6","States","Colorado",2014,40,NA,0.466945,NA,NA,NA,NA,NA,NA,19,6,4069,NA
"7","States","Connecticut",2014,40,NA,1.48994,NA,NA,NA,NA,NA,NA,60,17,4027,NA
"8","States","Delaware",2014,40,NA,0.0629723,NA,NA,NA,NA,NA,NA,1,7,1588,NA
"9","States","District of Columbia",2014,40,NA,5.85054,NA,NA,NA,NA,NA,NA,119,2,2034,NA
"10","States","Florida",2014,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","States","Georgia",2014,40,NA,0.396825,NA,NA,NA,NA,NA,NA,95,34,23940,NA
"12","States","Hawaii",2014,40,NA,4.81841,NA,NA,NA,NA,NA,NA,134,20,2781,NA
"13","States","Idaho",2014,40,NA,1.14723,NA,NA,NA,NA,NA,NA,30,9,2615,NA
"14","States","Illinois",2014,40,NA,1.47637,NA,NA,NA,NA,NA,NA,853,93,57777,NA
"15","States","Indiana",2014,40,NA,0.514369,NA,NA,NA,NA,NA,NA,46,35,8943,NA
"16","States","Iowa",2014,40,NA,0.254043,NA,NA,NA,NA,NA,NA,82,16,32278,NA
"17","States","Kansas",2014,40,NA,0.498433,NA,NA,NA,NA,NA,NA,35,29,7022,NA
"18","States","Kentucky",2014,40,NA,0.100271,NA,NA,NA,NA,NA,NA,20,17,19946,NA
"19","States","Louisiana",2014,40,NA,1.7935,NA,NA,NA,NA,NA,NA,823,75,45888,NA
"20","States","Maine",2014,40,NA,1.30226,NA,NA,NA,NA,NA,NA,76,29,5836,NA
"21","States","Maryland",2014,40,NA,1.01115,NA,NA,NA,NA,NA,NA,107,20,10582,NA
"22","States","Massachusetts",2014,40,NA,0.618429,NA,NA,NA,NA,NA,NA,170,47,27489,NA
"23","States","Michigan",2014,40,NA,0.320957,NA,NA,NA,NA,NA,NA,51,42,15890,NA
"24","States","Minnesota",2014,40,NA,0.766983,NA,NA,NA,NA,NA,NA,42,16,5476,NA
"25","States","Mississippi",2014,40,NA,2.26715,NA,NA,NA,NA,NA,NA,453,50,19981,NA
"26","States","Missouri",2014,40,NA,1.03915,NA,NA,NA,NA,NA,NA,86,23,8276,NA
"27","States","Montana",2014,40,NA,0.096401,NA,NA,NA,NA,NA,NA,3,12,3112,NA
"28","States","Nebraska",2014,40,NA,0.630564,NA,NA,NA,NA,NA,NA,17,16,2696,NA
"29","States","Nevada",2014,40,NA,0.494334,NA,NA,NA,NA,NA,NA,65,29,13149,NA
"30","States","New Hampshire",2014,40,NA,0.0233372,NA,NA,NA,NA,NA,NA,1,22,4285,NA
"31","States","New Jersey",2014,40,NA,1.4055,NA,NA,NA,NA,NA,NA,114,22,8111,NA
"32","States","New Mexico",2014,40,NA,1.34435,NA,NA,NA,NA,NA,NA,148,25,11009,NA
"33","States","New York",2014,40,NA,0.693823,NA,NA,NA,NA,NA,NA,124,153,17872,NA
"34","States","North Carolina",2014,40,NA,0.557937,NA,NA,NA,NA,NA,NA,82,44,14697,NA
"35","States","North Dakota",2014,40,NA,0.416089,NA,NA,NA,NA,NA,NA,6,7,1442,NA
"36","States","Ohio",2014,40,NA,0.392734,NA,NA,NA,NA,NA,NA,56,46,14259,NA
"37","States","Oklahoma",2014,40,NA,1.85456,NA,NA,NA,NA,NA,NA,38,14,2049,NA
"38","States","Oregon",2014,40,NA,0.223499,NA,NA,NA,NA,NA,NA,7,13,3132,NA
"39","States","Pennsylvania",2014,40,NA,0.937714,NA,NA,NA,NA,NA,NA,137,38,14610,NA
"40","States","Rhode Island",2014,40,NA,0.0433839,NA,NA,NA,NA,NA,NA,3,20,6915,NA
"41","States","South Carolina",2014,40,NA,0.229709,NA,NA,NA,NA,NA,NA,15,15,6530,NA
"42","States","South Dakota",2014,40,NA,0.820531,NA,NA,NA,NA,NA,NA,47,24,5728,NA
"43","States","Tennessee",2014,40,NA,0.235632,NA,NA,NA,NA,NA,NA,23,48,9761,NA
"44","States","Texas",2014,40,NA,1.61545,NA,NA,NA,NA,NA,NA,623,95,38565,NA
"45","States","Utah",2014,40,NA,1.15574,NA,NA,NA,NA,NA,NA,200,45,17305,NA
"46","States","Vermont",2014,40,NA,1.33929,NA,NA,NA,NA,NA,NA,42,11,3136,NA
"47","States","Virginia",2014,40,NA,1.43013,NA,NA,NA,NA,NA,NA,1166,121,81531,NA
"48","States","Washington",2014,40,NA,0.443718,NA,NA,NA,NA,NA,NA,19,26,4282,NA
"49","States","West Virginia",2014,40,NA,0.913293,NA,NA,NA,NA,NA,NA,162,46,17738,NA
"50","States","Wisconsin",2014,40,NA,0.783875,NA,NA,NA,NA,NA,NA,35,29,4465,NA
"51","States","Wyoming",2014,40,NA,0.519785,NA,NA,NA,NA,NA,NA,31,25,5964,NA
"52","States","Puerto Rico",2014,40,NA,6.77821,NA,NA,NA,NA,NA,NA,397,6,5857,NA
"53","States","Virgin Islands",2014,40,NA,1.40845,NA,NA,NA,NA,NA,NA,5,1,355,NA
"54","States","New York City",2014,40,NA,1.54549,NA,NA,NA,NA,NA,NA,1613,94,104368,NA
"55","States","Alabama",2014,41,NA,2.06627,NA,NA,NA,NA,NA,NA,270,27,13067,NA
"56","States","Alaska",2014,41,NA,0.412939,NA,NA,NA,NA,NA,NA,6,8,1453,NA
"57","States","Arizona",2014,41,NA,0.830861,NA,NA,NA,NA,NA,NA,238,59,28645,NA
"58","States","Arkansas",2014,41,NA,1.24595,NA,NA,NA,NA,NA,NA,77,19,6180,NA
"59","States","California",2014,41,NA,2.01872,NA,NA,NA,NA,NA,NA,936,136,46366,NA
"60","States","Colorado",2014,41,NA,0.427594,NA,NA,NA,NA,NA,NA,15,6,3508,NA
"61","States","Connecticut",2014,41,NA,1.59107,NA,NA,NA,NA,NA,NA,67,18,4211,NA
"62","States","Delaware",2014,41,NA,0.113314,NA,NA,NA,NA,NA,NA,2,7,1765,NA
"63","States","District of Columbia",2014,41,NA,5.46912,NA,NA,NA,NA,NA,NA,116,2,2121,NA
